year,player,pos,age,team_id,g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ws-dum,ows,dws,ws,ws_per_48,bpm-dum,obpm,dbpm,bpm,vorp
2020,Steven Adams,C,26,OKC,54,1455,21.3,.608,.007,.398,14.5,23.8,19.3,13.9,1.5,3.6,13.7,17.4,,3.7,2.2,5.9,.196,,2.3,1.2,3.5,2.0
2020,Bam Adebayo,PF,22,MIA,60,2063,20.8,.610,.020,.488,8.6,24.9,17.1,23.2,1.8,3.7,17.2,20.5,,4.5,3.2,7.7,.179,,1.8,2.0,3.8,3.0
2020,LaMarcus Aldridge,C,34,SAS,52,1717,19.9,.573,.199,.243,6.4,18.0,12.2,11.5,0.9,4.3,7.9,23.3,,3.2,1.4,4.5,.127,,1.9,-0.6,1.4,1.5
2020,Nickeil Alexander-Walker,SG,21,NOP,41,501,7.6,.441,.515,.123,1.7,15.2,8.4,20.4,1.0,1.2,14.3,22.9,,-0.7,0.3,-0.4,-0.036,,-3.4,-1.5,-4.9,-0.4
2020,Grayson Allen,SG,24,MEM,30,498,11.4,.577,.517,.199,1.1,12.8,7.0,11.8,0.6,0.2,10.7,17.9,,0.5,0.2,0.7,.065,,-1.0,-1.7,-2.6,-0.1
2020,Jarrett Allen,C,21,BRK,59,1541,20.7,.662,.013,.578,12.3,25.0,18.9,8.1,1.1,4.4,11.7,14.9,,4.2,2.6,6.9,.214,,1.2,1.2,2.5,1.7
2020,Kadeem Allen,SG,27,NYK,10,117,14.1,.512,.364,.250,1.8,6.6,4.1,27.3,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,-0.1,-0.6,-0.7,0.0
2020,Al-Farouq Aminu,PF,29,ORL,18,380,7.7,.395,.419,.337,6.5,18.3,12.2,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.017,,-4.6,1.4,-3.2,-0.1
2020,Justin Anderson,SF,26,BRK,3,17,-3.8,.218,.500,.333,0.0,11.8,6.1,0.0,0.0,4.8,0.0,16.9,,-0.1,0.0,-0.1,-0.169,,-12.7,-2.3,-15.0,-0.1
2020,Kyle Anderson,PF,26,MEM,54,1017,13.2,.541,.195,.231,5.1,18.6,12.0,15.4,2.0,2.2,14.5,13.2,,0.8,1.2,2.0,.094,,-1.3,1.8,0.5,0.6
2020,Ryan Anderson,PF,31,HOU,2,14,9.6,.357,.714,.000,0.0,52.3,26.1,20.0,3.3,0.0,12.5,23.6,,0.0,0.0,0.0,-0.028,,-4.0,0.7,-3.3,0.0
2020,Giannis Antetokounmpo,PF,25,MIL,53,1633,32.0,.612,.237,.515,8.0,34.0,21.9,33.8,1.5,3.0,13.3,37.5,,5.5,4.4,9.9,.291,,7.5,3.9,11.4,5.5
2020,Kostas Antetokounmpo,PF,22,LAL,3,5,8.6,,,,0.0,21.4,10.9,22.4,0.0,0.0,,0.0,,0.0,0.0,0.0,.135,,1.3,3.0,4.3,0.0
2020,Thanasis Antetokounmpo,SF,27,MIL,16,70,15.2,.546,.138,.310,10.6,6.6,8.5,12.5,2.6,1.2,15.4,23.0,,0.0,0.1,0.2,.114,,-3.4,1.2,-2.2,0.0
2020,Carmelo Anthony,PF,35,POR,45,1476,12.0,.511,.290,.196,4.1,16.0,10.1,6.5,1.2,1.2,10.6,21.7,,-0.1,0.8,0.7,.023,,-2.1,-1.8,-3.9,-0.7
2020,OG Anunoby,SF,22,TOR,58,1710,12.8,.585,.409,.157,4.2,14.9,9.6,7.7,2.1,2.3,12.2,14.6,,1.4,3.0,4.4,.124,,-1.0,1.8,0.7,1.2
2020,Ryan Arcidiacono,PG,25,CHI,56,887,8.5,.545,.638,.164,2.0,10.9,6.3,14.4,1.3,0.3,14.0,12.4,,0.6,0.6,1.2,.063,,-2.9,-0.2,-3.1,-0.3
2020,Trevor Ariza,SF,34,TOT,48,1321,10.5,.577,.631,.191,2.5,16.1,9.2,8.0,2.3,0.8,13.8,11.6,,0.9,1.3,2.1,.078,,-1.9,1.2,-0.7,0.4
2020,Trevor Ariza,SF,34,SAC,32,791,9.5,.543,.739,.164,2.9,18.3,10.4,8.5,2.2,0.8,13.7,11.3,,0.3,0.9,1.2,.071,,-1.9,1.3,-0.6,0.3
2020,Trevor Ariza,SF,34,POR,16,530,12.0,.625,.479,.231,1.8,12.7,7.3,7.2,2.6,0.8,14.0,12.0,,0.6,0.4,1.0,.088,,-1.8,1.0,-0.8,0.2
2020,D.J. Augustin,PG,32,ORL,44,1098,14.0,.541,.437,.381,1.5,8.5,4.9,26.7,1.3,0.1,12.6,18.8,,1.5,0.8,2.3,.100,,-0.5,-0.7,-1.2,0.2
2020,Deandre Ayton,C,21,PHO,29,957,21.0,.576,.007,.164,13.5,26.9,20.1,10.0,1.0,4.4,12.0,24.4,,1.3,1.2,2.5,.127,,1.2,-0.4,0.8,0.7
2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Dwayne Bacon,SG,24,CHO,39,687,6.1,.419,.275,.217,2.3,13.9,7.9,11.7,1.7,0.3,12.2,19.4,,-1.2,0.4,-0.8,-0.053,,-5.9,-1.0,-6.9,-0.8
2020,Marvin Bagley,PF,20,SAC,13,334,15.8,.512,.132,.186,9.5,23.6,16.4,5.0,0.9,3.4,9.1,25.9,,0.0,0.4,0.4,.056,,-2.1,-1.3,-3.4,-0.1
2020,Lonzo Ball,PG,22,NOP,51,1636,12.9,.508,.575,.101,3.6,16.3,9.9,29.1,2.0,1.3,20.5,18.4,,0.3,1.6,1.9,.056,,-0.1,0.3,0.2,0.9
2020,Mo Bamba,C,21,ORL,55,814,17.6,.555,.364,.157,11.2,25.5,18.1,6.7,1.2,9.3,13.1,17.1,,0.7,1.6,2.3,.138,,-1.5,1.9,0.5,0.5
2020,J.J. Barea,PG,35,DAL,21,325,17.8,.557,.405,.101,3.3,10.8,7.1,37.7,0.6,0.5,15.8,25.8,,0.6,0.1,0.8,.116,,4.0,-2.6,1.3,0.3
