Player,Pos,Age,Tm,G,GS,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g
Steven Adams,C,26.0,OKC,49.0,49.0,27.0,4.4,7.6,0.583,0.0,0.1,0.333,4.4,7.6,0.585,0.584,1.8,3.0,0.588,3.3,6.0,9.3,2.6,0.7,1.1,1.5,2.0,10.7
Bam Adebayo,PF,22.0,MIA,54.0,54.0,34.5,6.2,10.7,0.579,0.0,0.2,0.091,6.2,10.5,0.588,0.58,3.4,5.1,0.6809999999999999,2.6,7.8,10.4,4.9,1.2,1.2,2.7,2.4,15.8
LaMarcus Aldridge,C,34.0,SAS,50.0,50.0,33.2,7.4,14.9,0.501,1.2,2.9,0.407,6.3,12.0,0.523,0.54,3.0,3.6,0.83,2.0,5.6,7.6,2.4,0.6,1.6,1.4,2.4,19.1
Nickeil Alexander-Walker,SG,21.0,NOP,41.0,0.0,12.2,1.9,5.5,0.339,1.0,2.9,0.342,0.9,2.7,0.336,0.4270000000000001,0.4,0.7,0.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1
Grayson Allen,SG,24.0,MEM,30.0,0.0,16.6,2.6,5.9,0.449,1.1,3.0,0.363,1.5,2.8,0.541,0.5429999999999999,1.0,1.2,0.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4
Jarrett Allen,C,21.0,BRK,53.0,49.0,26.6,4.3,6.7,0.6409999999999999,0.0,0.1,0.0,4.3,6.6,0.6509999999999999,0.6409999999999999,2.4,3.8,0.631,3.1,6.6,9.7,1.4,0.6,1.5,1.1,2.4,11.1
Kadeem Allen,SG,27.0,NYK,10.0,0.0,11.7,1.9,4.4,0.4320000000000001,0.5,1.6,0.313,1.4,2.8,0.5,0.489,0.7,1.1,0.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0
Al-Farouq Aminu,PF,29.0,ORL,18.0,2.0,21.1,1.4,4.8,0.29100000000000004,0.5,2.0,0.25,0.9,2.8,0.32,0.343,1.1,1.6,0.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3
Justin Anderson,SF,26.0,BRK,3.0,0.0,5.7,0.3,2.0,0.16699999999999998,0.0,1.0,0.0,0.3,1.0,0.333,0.16699999999999998,0.3,0.7,0.5,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0
Kyle Anderson,PF,26.0,MEM,48.0,9.0,18.1,2.2,4.4,0.498,0.2,0.9,0.195,2.0,3.6,0.57,0.516,0.7,1.1,0.648,0.9,3.2,4.1,2.1,0.8,0.5,0.9,1.5,5.3
Giannis Antetokounmpo,PF,25.0,MIL,48.0,48.0,30.9,11.0,20.1,0.5489999999999999,1.5,4.9,0.313,9.5,15.2,0.625,0.5870000000000001,6.4,10.4,0.614,2.5,11.0,13.5,5.8,1.1,1.1,3.7,3.1,30.0
Thanasis Antetokounmpo,SF,27.0,MIL,15.0,1.0,4.1,0.9,1.5,0.565,0.0,0.2,0.0,0.9,1.3,0.65,0.565,0.3,0.6,0.444,0.4,0.1,0.5,0.4,0.1,0.1,0.3,0.6,2.0
Carmelo Anthony,PF,35.0,POR,40.0,40.0,32.5,5.8,13.9,0.414,1.4,3.9,0.35,4.4,10.0,0.439,0.463,2.2,2.6,0.8370000000000001,1.3,5.3,6.6,1.5,0.8,0.5,1.8,3.0,15.1
OG Anunoby,SF,22.0,TOR,54.0,53.0,29.1,4.1,8.2,0.499,1.3,3.4,0.3720000000000001,2.8,4.8,0.588,0.5760000000000001,0.8,1.2,0.662,1.1,4.3,5.4,1.5,1.2,0.6,1.2,2.4,10.2
