player_name,screen_name,followers_count,statuses_count
Steven Adams,RealStevenAdams,214601,1527
Bam Adebayo,Bam1of1,96187,14127
LaMarcus Aldridge,aldridge_12,769646,3436
Nickeil Alexander-Walker,NickeilAW,12176,2993
Grayson Allen,GraysonJAllen,259332,4481
Jarrett Allen,_bigjayy_,25875,713
Al-Farouq Aminu,farouq1,82067,6819
Kyle Anderson,KyleAEW,5883,7629
Giannis Antetokounmpo,Giannis_An34,999324,1215
Thanasis Antetokounmpo,Thanasis_ante43,69871,9817
Carmelo Anthony,carmeloanthony,9110459,2871
OG Anunoby,OAnunoby,38708,301
Ryan Arcidiacono,RyArch15,47092,809
Trevor Ariza,TrevorAriza,77353,2649
D.J. Augustin,augustinDj14,2452,163
Deandre Ayton,DeandreAyton,68074,892
Dwayne Bacon,BaconDwayne1000,39418,37020
Marvin Bagley,MB3FIVE,95618,1950
Lonzo Ball,ZO2_,1046336,4459
Mo Bamba,TheRealMoBamba,33606,224
J.J. Barea,jjbareapr,288813,2763
Harrison Barnes,hbarnes,621143,4585
RJ Barrett,RjBarrett6,164451,1011
Will Barton,WillTheThrillB5,43302,10613
Keita Bates-Diop,KBD_33,10660,2115
Nicolas Batum,nicolas88batum,1020532,8664
Aron Baynes,aronbaynes,70161,1380
Kent Bazemore,24Bazemore,63282,1294
Darius Bazley,BazleyDarius,12893,1011
Bradley Beal,RealDealBeal23,468255,17553
Malik Beasley,Mbeasy5,18830,16490
Marco Belinelli,marcobelinelli,608318,7140
Jordan Bell,1jordanbell,81635,9075
DeAndre' Bembry,fearthefro95,8713,16382
Dāvis Bertāns,DBertans_42,51628,1859
Patrick Beverley,patbev21,223119,9712
Khem Birch,Khem_Birch,6530,2904
Nemanja Bjelica,NemanjaBjelica,40802,240
Eric Bledsoe,EBled2,241790,4624
Isaac Bonga,isaacbonga,6904,60
Devin Booker,DevinBook,724854,9216
Mikal Bridges,mikal_bridges,17917,560
Miles Bridges,MilesBridges,98577,17899
Ryan Broekhoff,RBroekhoff45,9763,1851
Dillon Brooks,dillonbrooks24,22381,6055
Bruce Brown,BruceBrown11,5676,2456
Jaylen Brown,FCHWPO,322210,2899
Sterling Brown,SterlingKBrown,388492,7016
Troy Brown,RealTroyBrown80,65001,2422
Jalen Brunson,jalenbrunson1,30403,4064
Thomas Bryant,nolimittb31,32509,286
Reggie Bullock,ReggieBullock35,93650,15988
Trey Burke,TreyBurke,172555,2474
Alec Burks,AlecBurks10,57971,161
Deonte Burton,DeonteBurton,3458,4750
Jimmy Butler,JimmyButler,642590,5368
Bruno Caboclo,Bruno_Caboclo,35590,420
Kentavious Caldwell-Pope,CaldwellPope,76864,295
DeMarre Carroll,DeMarreCarroll1,93120,6031
Jevon Carter,nextlevel_03,22460,1156
Vince Carter,mrvincecarter15,1002337,12996
Wendell Carter,wendellcarter34,52182,826
Alex Caruso,ACFresh21,136122,22793
Willie Cauley-Stein,THEwillieCS15,237481,12981
Wilson Chandler,wilsonchandler,152838,273
Marquese Chriss,quese,25748,21559
Gary Clark,Gary11_Clark,11032,15134
Brandon Clarke,brandonclarke23,16688,368
Jordan Clarkson,JordanClarksons,379208,15891
John Collins,jcollins20_,24326,1818
Mike Conley,MCONLEY10,530660,4242
Pat Connaughton,pconnaughton,54124,6140
Quinn Cook,QCook323,174499,20330
Robert Covington,Holla_At_Rob33,94156,11800
Torrey Craig,TCraig_23,5065,32897
Jae Crowder,CJC9BOSS,168370,8379
Jarrett Culver,jarrettc08,34086,4594
Seth Curry,sdotcurry,294659,5587
Troy Daniels,troydaniels,50322,7798
Anthony Davis,AntDavis23,1762264,4922
Terence Davis,TerenceDavisJr,14662,7232
Dewayne Dedmon,d_dedmon3,16423,3890
Matthew Dellavedova,matthewdelly,187236,2973
DeMar DeRozan,DeMar_DeRozan,639290,8218
Cheick Diallo,cheick_diallo13,17614,1789
Hamidou Diallo,hamidoudiallo,60153,946
Gorgui Dieng,GorguiDieng,61513,1216
Spencer Dinwiddie,SDinwiddie_25,75428,30873
Damyean Dotson,wholeteamDot,14716,4934
Sekou Doumbouya,sekou_doums,26183,169
Andre Drummond,AndreDrummond,841367,20395
Jared Dudley,JaredDudley619,302751,26927
Kris Dunn,KrisDunn3,48392,492
Carsen Edwards,Cboogie_3,62137,4284
Wayne Ellington,WayneEllington,51056,1876
Joel Embiid,JoelEmbiid,1737984,2664
James Ennis,JamesDa_Truth,32876,6520
Jacob Evans,JacobEvans_1,14773,13469
Dante Exum,daanteee,70792,841
Derrick Favors,dfavors14,146032,917
Bruno Fernando,BrunoFernandoMV,14401,1482
Yogi Ferrell,YogiFerrell11,35248,879
Dorian Finney-Smith,doefinney_10,8842,215
Bryn Forbes,BrynjForbes,20847,1134
Evan Fournier,EvanFourmizz,214746,7719
De'Aaron Fox,swipathefox,249228,648
Melvin Frazier,melvinjrrr,4125,1135
Tim Frazier,Timfraz23,15229,7308
Markelle Fultz,MarkelleF,239480,7641
Wenyen Gabriel,WenyenGabriel,37529,8315
Danilo Gallinari,gallinari8888,716079,6955
Langston Galloway,LangGalloway10,24736,9158
Darius Garland,dariusgarland22,27472,6780
Marc Gasol,MarcGasol,1265660,1133
Rudy Gay,RudyGay,1263281,5343
Paul George,Yg_Trece,2266584,16989
Taj Gibson,TajGibson,343649,2308
Shai Gilgeous-Alexander,shaiglalex,68202,1033
Brandon Goodwin,goodysav,5289,4102
Aaron Gordon,Double0AG,178609,2288
Eric Gordon,TheofficialEG10,226233,2406
Devonte' Graham,Devonte4Graham,26207,1148
Jerami Grant,JeramiGrant,45409,8462
Danny Green,DGreen_14,622673,12292
Draymond Green,Money23Green,1371704,19211
JaMychal Green,Jmyke1,16605,14246
Javonte Green,2Xtremebounce,6629,5554
Jeff Green,JeffAGreen,2714,7518
Blake Griffin,blakegriffin23,4498346,2758
Rui Hachimura,rui_8mura,166897,425
Tim Hardaway,T_HardJR,139674,1919
James Harden,JHarden13,6706290,13075
Maurice Harkless,moe_harkless,49884,105
